trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-153.97031945130485,"{0: 13, 1: 1, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,4,-75.99571773520499,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 2}",1
3,False,"{'a': 0.5, 'e': 1.0}",30,0,-92.37165852930289,"{0: 18, 1: 6, 2: 4, 3: 2, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,12,-17.016711974383565,"{0: 6, 1: 1, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-128.80597694744677,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.91912345732993,"{0: 9, 1: 6, 2: 9, 3: 1, 4: 0}",0
